id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
517,Toy Story 2,Animation,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",88.0,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,527512,"Animation John Lasseter When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye. Ash Brannon Lee Unkrich Tom Hanks Tim Allen"
518,Boogie Nights,Drama,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",85.0,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán,239473,"Drama Paul Thomas Anderson Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent. Mark Wahlberg Julianne Moore Burt Reynolds Luis Guzmán"
519,Mimi wo sumaseba,Animation,7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",75.0,Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,51943,"Animation Yoshifumi Kondô A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses. Yoko Honna Issey Takahashi Takashi Tachibana Shigeru Muroi"
520,Once Were Warriors,Crime,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,77.0,Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,31590,Crime Lee Tamahori A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts. Rena Owen Temuera Morrison Mamaengaroa Kerr-Bell Julian Arahanga
521,True Romance,Crime,7.9,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",59.0,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,206918,"Crime Tony Scott In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it. Christian Slater Patricia Arquette Dennis Hopper Val Kilmer"
522,Trois couleurs: Bleu,Drama,7.9,A woman struggles to find a way to live her life after the death of her husband and child.,85.0,Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent,89836,Drama Krzysztof Kieslowski A woman struggles to find a way to live her life after the death of her husband and child. Juliette Binoche Zbigniew Zamachowski Julie Delpy Benoît Régent
523,Jûbê ninpûchô,Animation,7.9,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,79.0,Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,34529,Animation Yoshiaki Kawajiri A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate. Kôichi Yamadera Emi Shinohara Takeshi Aono Osamu Saka
524,Carlito's Way,Crime,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",65.0,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,201000,"Crime Brian De Palma A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C. Al Pacino Sean Penn Penelope Ann Miller John Leguizamo"
525,Edward Scissorhands,Drama,7.9,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",74.0,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,447368,"Drama Tim Burton An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world. Johnny Depp Winona Ryder Dianne Wiest Anthony Michael Hall"
526,My Left Foot: The Story of Christy Brown,Biography,7.9,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",97.0,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,68076,"Biography Jim Sheridan Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot. Daniel Day-Lewis Brenda Fricker Alison Whelan Kirsten Sheridan"
527,Crimes and Misdemeanors,Comedy,7.9,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,77.0,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom,54670,Comedy Woody Allen An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman. Martin Landau Woody Allen Bill Bernstein Claire Bloom
528,The Untouchables,Crime,7.9,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",79.0,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,281842,"Crime Brian De Palma During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him. Kevin Costner Sean Connery Robert De Niro Charles Martin Smith"
529,Hannah and Her Sisters,Comedy,7.9,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",90.0,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey,67176,"Comedy Woody Allen Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly. Mia Farrow Dianne Wiest Michael Caine Barbara Hershey"
530,Brazil,Drama,7.9,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,84.0,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,187567,Drama Terry Gilliam A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams. Jonathan Pryce Kim Greist Robert De Niro Katherine Helmond
531,This Is Spinal Tap,Comedy,7.9,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",92.0,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,128812,"Comedy Rob Reiner Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour. Rob Reiner Michael McKean Christopher Guest Kimberly Stringer"
532,A Christmas Story,Comedy,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",77.0,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,132947,"Comedy Bob Clark In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift. Peter Billingsley Melinda Dillon Darren McGavin Scott Schwartz"
533,The Blues Brothers,Action,7.9,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",60.0,John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,183182,"Action John Landis Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised. John Belushi Dan Aykroyd Cab Calloway John Candy"
534,Manhattan,Comedy,7.9,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,83.0,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,131436,Comedy Woody Allen The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress. Woody Allen Diane Keaton Mariel Hemingway Michael Murphy
535,All That Jazz,Drama,7.9,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",72.0,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223,"Drama Bob Fosse Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer. Roy Scheider Jessica Lange Ann Reinking Leland Palmer"
536,Dawn of the Dead,Action,7.9,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",71.0,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,111512,"Action George A. Romero Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall. David Emge Ken Foree Scott H. Reiniger Gaylen Ross"
537,All the President's Men,Biography,7.9,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",84.0,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,103031,"Biography Alan J. Pakula ""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation. Dustin Hoffman Robert Redford Jack Warden Martin Balsam"
538,La montaña sagrada,Adventure,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",76.0,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,37183,"Adventure Alejandro Jodorowsky In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment. Alejandro Jodorowsky Horacio Salinas Zamira Saunders Juan Ferrara"
539,Amarcord,Comedy,7.9,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,79.0,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,39897,Comedy Federico Fellini A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town. Magali Noël Bruno Zanin Pupella Maggio Armando Brancia
540,Le charme discret de la bourgeoisie,Comedy,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",93.0,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,38737,"Comedy Luis Buñuel A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together. Fernando Rey Delphine Seyrig Paul Frankeur Bulle Ogier"
541,"Aguirre, der Zorn Gottes",Action,7.9,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",79.0,Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,52397,"Action Werner Herzog In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado. Klaus Kinski Ruy Guerra Helena Rojo Del Negro"
542,Harold and Maude,Comedy,7.9,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",62.0,Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,70826,"Comedy Hal Ashby Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral. Ruth Gordon Bud Cort Vivian Pickles Cyril Cusack"
543,Patton,Biography,7.9,The World War II phase of the career of controversial American general George S. Patton.,91.0,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,93741,Biography Franklin J. Schaffner The World War II phase of the career of controversial American general George S. Patton. George C. Scott Karl Malden Stephen Young Michael Strong
544,The Wild Bunch,Action,7.9,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",97.0,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,77401,"Action Sam Peckinpah An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them. William Holden Ernest Borgnine Robert Ryan Edmond O'Brien"
545,Night of the Living Dead,Horror,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,89.0,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557,Horror George A. Romero A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States. Duane Jones Judith O'Dea Karl Hardman Marilyn Eastman
546,The Lion in Winter,Biography,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",79.0,Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,29003,"Biography Anthony Harvey 1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him. Peter O'Toole Katharine Hepburn Anthony Hopkins John Castle"
547,In the Heat of the Night,Crime,7.9,A black police detective is asked to investigate a murder in a racially hostile southern town.,75.0,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804,Crime Norman Jewison A black police detective is asked to investigate a murder in a racially hostile southern town. Sidney Poitier Rod Steiger Warren Oates Lee Grant
548,Charade,Comedy,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,83.0,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689,Comedy Stanley Donen Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust? Cary Grant Audrey Hepburn Walter Matthau James Coburn
549,The Manchurian Candidate,Drama,7.9,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,94.0,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122,Drama John Frankenheimer A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy. Frank Sinatra Laurence Harvey Janet Leigh Angela Lansbury
550,Spartacus,Adventure,7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,87.0,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339,Adventure Stanley Kubrick The slave Spartacus leads a violent revolt against the decadent Roman Republic. Kirk Douglas Laurence Olivier Jean Simmons Charles Laughton
551,L'avventura,Drama,7.9,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",79.0,Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar,26542,"Drama Michelangelo Antonioni A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other. Gabriele Ferzetti Monica Vitti Lea Massari Dominique Blanchar"
552,Hiroshima mon amour,Drama,7.9,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,79.0,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud,28421,Drama Alain Resnais A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war. Emmanuelle Riva Eiji Okada Stella Dassas Pierre Barbaud
